ID,Name,Venue,Date,Time,Style,Location,Starting Price,Description,Tickets
1,Rennie Harris Puremovement American Street Dance Theater,The Joyce Theater,"November 11, 2025",7:30 PM,Hip-hop,Chelsea,$32,"Well-known for painting rich tapestries of political, social, and economic history through movement, Rennie Harris weaves a vibrant blend of street and tap dance styles to highlight unique forms from across the United States, including Jitting (Detroit), Footwork (Chicago), and GQ (Philadelphia). American Street Dancer features a live hip-hop orchestra with a DJ, bucket players, and beatboxers, as well as an impressive line-up of acclaimed artists such as House of Jit, Creation Global, Akim Funk Buddha, DJ Razor Ramon, Ayodele Casel, and his company, Rennie Harris Puremovement American Street Dance Theater. ",https://shop.joyce.org/8129/8130
2,Rennie Harris Puremovement American Street Dance Theater,The Joyce Theater,"November 12, 2025",7:30 PM,Hip-hop,Chelsea,$32,"Well-known for painting rich tapestries of political, social, and economic history through movement, Rennie Harris weaves a vibrant blend of street and tap dance styles to highlight unique forms from across the United States, including Jitting (Detroit), Footwork (Chicago), and GQ (Philadelphia). American Street Dancer features a live hip-hop orchestra with a DJ, bucket players, and beatboxers, as well as an impressive line-up of acclaimed artists such as House of Jit, Creation Global, Akim Funk Buddha, DJ Razor Ramon, Ayodele Casel, and his company, Rennie Harris Puremovement American Street Dance Theater. ",https://shop.joyce.org/8129/8131
3,Rennie Harris Puremovement American Street Dance Theater,The Joyce Theater,"November 13, 2025",7:30 PM,Hip-hop,Chelsea,$32,"Well-known for painting rich tapestries of political, social, and economic history through movement, Rennie Harris weaves a vibrant blend of street and tap dance styles to highlight unique forms from across the United States, including Jitting (Detroit), Footwork (Chicago), and GQ (Philadelphia). American Street Dancer features a live hip-hop orchestra with a DJ, bucket players, and beatboxers, as well as an impressive line-up of acclaimed artists such as House of Jit, Creation Global, Akim Funk Buddha, DJ Razor Ramon, Ayodele Casel, and his company, Rennie Harris Puremovement American Street Dance Theater. ",https://shop.joyce.org/8129/8132
4,Rennie Harris Puremovement American Street Dance Theater,The Joyce Theater,"November 14, 2025",7:30 PM,Hip-hop,Chelsea,$32,"Well-known for painting rich tapestries of political, social, and economic history through movement, Rennie Harris weaves a vibrant blend of street and tap dance styles to highlight unique forms from across the United States, including Jitting (Detroit), Footwork (Chicago), and GQ (Philadelphia). American Street Dancer features a live hip-hop orchestra with a DJ, bucket players, and beatboxers, as well as an impressive line-up of acclaimed artists such as House of Jit, Creation Global, Akim Funk Buddha, DJ Razor Ramon, Ayodele Casel, and his company, Rennie Harris Puremovement American Street Dance Theater. ",https://shop.joyce.org/8129/8133
5,Rennie Harris Puremovement American Street Dance Theater,The Joyce Theater,"November 15, 2025",2:00 PM,Hip-hop,Chelsea,$32,"Well-known for painting rich tapestries of political, social, and economic history through movement, Rennie Harris weaves a vibrant blend of street and tap dance styles to highlight unique forms from across the United States, including Jitting (Detroit), Footwork (Chicago), and GQ (Philadelphia). American Street Dancer features a live hip-hop orchestra with a DJ, bucket players, and beatboxers, as well as an impressive line-up of acclaimed artists such as House of Jit, Creation Global, Akim Funk Buddha, DJ Razor Ramon, Ayodele Casel, and his company, Rennie Harris Puremovement American Street Dance Theater. ",https://shop.joyce.org/8129/8134
6,Rennie Harris Puremovement American Street Dance Theater,The Joyce Theater,"November 15, 2025",7:30 PM,Hip-hop,Chelsea,$32,"Well-known for painting rich tapestries of political, social, and economic history through movement, Rennie Harris weaves a vibrant blend of street and tap dance styles to highlight unique forms from across the United States, including Jitting (Detroit), Footwork (Chicago), and GQ (Philadelphia). American Street Dancer features a live hip-hop orchestra with a DJ, bucket players, and beatboxers, as well as an impressive line-up of acclaimed artists such as House of Jit, Creation Global, Akim Funk Buddha, DJ Razor Ramon, Ayodele Casel, and his company, Rennie Harris Puremovement American Street Dance Theater. ",https://shop.joyce.org/8129/8135
7,Rennie Harris Puremovement American Street Dance Theater,The Joyce Theater,"November 16, 2025",2:00 PM,Hip-hop,Chelsea,$32,"Well-known for painting rich tapestries of political, social, and economic history through movement, Rennie Harris weaves a vibrant blend of street and tap dance styles to highlight unique forms from across the United States, including Jitting (Detroit), Footwork (Chicago), and GQ (Philadelphia). American Street Dancer features a live hip-hop orchestra with a DJ, bucket players, and beatboxers, as well as an impressive line-up of acclaimed artists such as House of Jit, Creation Global, Akim Funk Buddha, DJ Razor Ramon, Ayodele Casel, and his company, Rennie Harris Puremovement American Street Dance Theater. ",https://shop.joyce.org/8129/8136
8,Lisa Fagan and Lena Engelstein: Friday Night Rat Catchers,New York Live Arts,"January 14, 2026",7:30 PM,Dance Theater,Chelsea,$0,"Beneath the shimmer of a disco ball, lucky contestants dance like they have the world on a string. The year is 1976, an irresistible bassline drives, and the martinis never run dry. What could go wrong? While the contestants nearly lose their minds with the pleasure of being selected, The Host has reconfigured the game. Ripped headfirst from their shrimp cocktail, gameplay unfolds at breakneck speed. Cement punctures the dancehall, the party grinds to a halt, and an inky night belches to the surface.",https://newyorklivearts.my.salesforce-sites.com/ticket/#/instances/a0FVt00000IkAjZMAV
9,Lisa Fagan and Lena Engelstein: Friday Night Rat Catchers,New York Live Arts,"January 15, 2026",7:30 PM,Dance Theater,Chelsea,$0,"Beneath the shimmer of a disco ball, lucky contestants dance like they have the world on a string. The year is 1976, an irresistible bassline drives, and the martinis never run dry. What could go wrong? While the contestants nearly lose their minds with the pleasure of being selected, The Host has reconfigured the game. Ripped headfirst from their shrimp cocktail, gameplay unfolds at breakneck speed. Cement punctures the dancehall, the party grinds to a halt, and an inky night belches to the surface.",https://newyorklivearts.my.salesforce-sites.com/ticket/#/instances/a0FVt00000IkCa5MAF
10,Lisa Fagan and Lena Engelstein: Friday Night Rat Catchers,New York Live Arts,"January 16, 2026",9:00 PM,Dance Theater,Chelsea,$0,"Beneath the shimmer of a disco ball, lucky contestants dance like they have the world on a string. The year is 1976, an irresistible bassline drives, and the martinis never run dry. What could go wrong? While the contestants nearly lose their minds with the pleasure of being selected, The Host has reconfigured the game. Ripped headfirst from their shrimp cocktail, gameplay unfolds at breakneck speed. Cement punctures the dancehall, the party grinds to a halt, and an inky night belches to the surface.",https://newyorklivearts.my.salesforce-sites.com/ticket/#/instances/a0FVt00000IkD7xMAF
